col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
307 57.000000 2.000000 2.000000 
308 56.000000 2.000000 2.000000 
309 55.000000 2.000000 2.000000 
310 54.000000 2.000000 2.000000 
311 53.000000 2.000000 2.000000 
312 52.000000 2.000000 2.000000 
313 51.000000 2.000000 2.000000 
314 50.000000 2.000000 2.000000 
315 49.000000 2.000000 2.000000 
316 48.000000 2.000000 2.000000 
317 47.000000 2.000000 2.000000 
318 46.000000 2.000000 2.000000 
319 45.000000 2.000000 2.000000 
320 44.000000 2.000000 2.000000 
321 43.000000 2.000000 2.000000 
322 42.000000 2.000000 2.000000 
323 41.000000 2.000000 2.000000 
324 40.000000 2.000000 2.000000 
325 39.000000 2.000000 2.000000 
326 38.000000 2.000000 2.000000 
327 37.000000 2.000000 2.000000 
328 36.000000 2.000000 2.000000 
329 35.000000 2.000000 2.000000 
330 34.000000 2.000000 2.000000 
331 33.000000 2.000000 2.000000 
332 32.000000 2.000000 2.000000 
333 31.000000 2.000000 2.000000 
334 30.000000 2.000000 2.000000 
335 29.000000 2.000000 2.000000 
336 28.000000 2.000000 2.000000 
337 27.000000 2.000000 2.000000 
338 26.000000 2.000000 2.000000 
339 25.000000 2.000000 2.000000 
340 24.000000 2.000000 2.000000 
341 23.000000 2.000000 2.000000 
342 22.000000 2.000000 2.000000 
343 21.000000 2.000000 2.000000 
344 20.000000 2.000000 2.000000 
345 19.000000 2.000000 2.000000 
346 18.000000 2.000000 2.000000 
347 17.000000 2.000000 2.000000 
348 16.000000 2.000000 2.000000 
349 15.000000 2.000000 2.000000 
350 14.000000 2.000000 2.000000 
351 13.000000 2.000000 2.000000 
352 12.000000 2.000000 2.000000 
353 11.000000 2.000000 2.000000 
354 10.000000 2.000000 2.000000 
355 9.000000 2.000000 2.000000 
356 8.000000 2.000000 2.000000 
357 7.000000 2.000000 2.000000 
358 6.000000 2.000000 2.000000 
359 5.000000 2.000000 2.000000 
360 4.000000 2.000000 2.000000 
361 3.000000 2.000000 2.000000 
362 2.000000 2.000000 2.000000 
363 1.000000 2.000000 2.000000 
364 0.000000 2.000000 2.000000 
365 114.000000 0.000000 0.000000 
366 113.000000 0.000000 0.000000 
367 112.000000 0.000000 0.000000 
368 111.000000 0.000000 0.000000 
369 110.000000 0.000000 0.000000 
370 109.000000 0.000000 0.000000 
371 108.000000 0.000000 0.000000 
372 107.000000 0.000000 0.000000 
373 106.000000 0.000000 0.000000 
374 105.000000 0.000000 0.000000 
375 104.000000 0.000000 0.000000 
376 103.000000 0.000000 0.000000 
377 102.000000 0.000000 0.000000 
378 101.000000 0.000000 0.000000 
379 100.000000 0.000000 0.000000 
380 99.000000 0.000000 0.000000 
381 98.000000 0.000000 0.000000 
382 97.000000 0.000000 0.000000 
383 96.000000 0.000000 0.000000 
384 95.000000 0.000000 0.000000 
385 94.000000 0.000000 0.000000 
386 93.000000 0.000000 0.000000 
